match_id,match_time,home_team,away_team,team_1_code,team_2_code,venue,actual_home_score,actual_away_score
1,2026-06-11 22:00:00,Mexico,South Africa,A1,A2,Mexico City,2,0
2,2026-06-12 05:00:00,Rep. of Korea,Czech Rep.,A3,A4,Guadalajara,2,1
3,2026-06-12 22:00:00,Canada,Bosnia/Herzeg.,B1,B2,Toronto,1,1
4,2026-06-13 04:00:00,USA,Paraguay,D1,D2,Los Angeles,4,1
8,2026-06-13 22:00:00,Qatar,Switzerland,B3,B4,San Francisco Bay Area,1,1
7,2026-06-14 01:00:00,Brazil,Morocco,C1,C2,New York/New Jersey,1,1
5,2026-06-14 04:00:00,Haiti,Scotland,C3,C4,Boston,0,1
6,2026-06-14 07:00:00,Australia,Turkey,D3,D4,Vancouver,2,0
10,2026-06-14 20:00:00,Germany,Curaçao,E1,E2,Houston,7,1
11,2026-06-14 23:00:00,Netherlands,Japan,F1,F2,Dallas,2,2
9,2026-06-15 02:00:00,Ivory Coast,Ecuador,E3,E4,Philadelphia,1,0
12,2026-06-15 05:00:00,Sweden,Tunisia,F3,F4,Monterrey,5,1
14,2026-06-15 19:00:00,Spain,Cape Verde,H1,H2,Atlanta,0,0
16,2026-06-15 22:00:00,Belgium,Egypt,G1,G2,Seattle,1,1
13,2026-06-16 01:00:00,Saudi Arabia,Uruguay,H3,H4,Miami,1,1
15,2026-06-16 04:00:00,IR Iran,New Zealand,G3,G4,Los Angeles,2,2
17,2026-06-16 22:00:00,France,Senegal,I1,I2,New York/New Jersey,3,1
18,2026-06-17 01:00:00,Iraq,Norway,I3,I4,Boston,1,4
19,2026-06-17 04:00:00,Argentina,Algeria,J1,J2,Kansas City,3,0
20,2026-06-17 07:00:00,Austria,Jordan,J3,J4,San Francisco Bay Area,3,1
23,2026-06-17 20:00:00,Portugal,DR Congo,K1,K2,Houston,1,1
22,2026-06-17 23:00:00,England,Croatia,L1,L2,Dallas,4,2
21,2026-06-18 02:00:00,Ghana,Panama,L3,L4,Toronto,1,0
24,2026-06-18 05:00:00,Uzbekistan,Colombia,K3,K4,Mexico City,1,3
25,2026-06-18 19:00:00,Czech Rep.,South Africa,A4,A2,Atlanta,1,1
26,2026-06-18 22:00:00,Switzerland,Bosnia/Herzeg.,B4,B2,Los Angeles,4,1
27,2026-06-19 01:00:00,Canada,Qatar,B1,B3,Vancouver,6,0
28,2026-06-19 04:00:00,Mexico,Rep. of Korea,A1,A3,Guadalajara,,
32,2026-06-19 22:00:00,USA,Australia,D1,D3,Seattle,,
30,2026-06-20 01:00:00,Scotland,Morocco,C4,C2,Boston,,
29,2026-06-20 03:30:00,Brazil,Haiti,C1,C3,Philadelphia,,
31,2026-06-20 06:00:00,Turkey,Paraguay,D4,D2,San Francisco Bay Area,,
35,2026-06-20 20:00:00,Netherlands,Sweden,F1,F3,Houston,,
33,2026-06-20 23:00:00,Germany,Ivory Coast,E1,E3,Toronto,,
34,2026-06-21 03:00:00,Ecuador,Curaçao,E4,E2,Kansas City,,
